id,suhu,kelembapan,gas,waktu
1,29.8,67,694,58:02.4
2,29.8,67,687,58:06.3
3,29.8,67,702,58:11.4
4,29.8,67,683,58:16.6
5,29.8,67,675,58:21.4
6,29.8,67,690,58:26.5
7,29.8,67,672,58:31.5
8,29.8,67,682,58:36.7
9,29.8,67,745,58:41.7
10,29.8,67,698,58:46.6
11,29.8,67,667,58:51.6
12,29.8,67,699,58:56.6
13,29.8,67,693,59:01.6
14,29.8,67,688,59:06.8
15,29.8,67,710,59:11.8
16,29.8,67,687,59:16.8
17,29.8,67,673,59:21.9
18,29.8,67,689,59:27.2
19,29.8,67,656,59:31.8
20,29.8,67,676,59:36.9
21,29.8,67,685,59:41.8
22,29.8,68,679,59:46.9
23,29.8,68,684,59:52.0
24,29.8,68,659,59:56.9
25,29.8,68,659,00:02.1
26,29.8,68,677,00:06.9
27,29.8,67,657,00:12.1
28,29.8,67,672,00:17.1
29,29.8,67,662,00:22.2
30,29.8,67,670,00:27.1
31,29.8,67,655,00:32.1
32,29.8,67,699,00:37.3
33,29.8,67,674,00:42.2
34,29.8,67,719,00:47.2
35,29.8,67,677,00:52.2
36,29.8,67,671,00:57.5
37,29.8,68,675,01:02.3
38,29.8,68,681,01:07.5
39,29.8,68,678,01:12.4
40,29.8,68,689,01:17.3
41,29.8,68,663,01:22.3
42,29.8,68,666,01:27.3
43,29.8,68,687,01:32.4
44,29.8,67,657,01:37.5
45,29.7,67,677,01:42.5
46,29.7,67,682,01:47.6
47,29.7,67,725,01:52.5
48,29.7,67,657,01:57.5
49,29.7,67,731,02:02.5
50,29.7,67,674,02:07.8
51,29.7,67,656,02:12.7
52,29.7,67,674,02:17.8
53,29.7,67,690,02:22.7
54,29.6,67,667,02:27.8
55,29.6,67,672,02:32.9
56,29.6,67,663,02:37.9
57,29.6,67,658,02:42.7
58,29.6,67,638,02:47.9
59,29.6,67,656,02:52.8
60,29.6,67,649,02:57.9
61,29.6,67,656,03:04.4
62,29.5,67,656,03:08.0
63,29.5,67,746,03:12.9
64,29.5,67,686,03:18.0
65,29.5,68,677,03:23.1
66,29.5,68,679,03:28.1
67,29.5,68,658,03:33.0
68,29.5,68,636,03:38.3
69,29.5,68,656,03:43.2
70,29.5,68,656,03:48.1
71,29.5,68,665,03:53.2
72,29.5,68,669,03:58.2
73,29.5,68,656,04:03.2
74,29.5,68,654,04:08.2
75,29.5,68,665,04:13.4
76,29.5,68,653,04:18.4
77,29.4,68,656,04:23.3
78,29.4,68,652,04:28.4
79,29.4,69,667,04:33.3
80,29.4,69,797,04:38.4
81,29.4,69,658,04:44.0
82,29.4,69,666,04:48.4
83,29.4,69,644,04:53.4
84,29.4,69,662,04:58.6
85,29.4,69,677,05:03.5
86,29.4,69,669,05:08.6
87,29.4,69,657,05:13.6
88,29.4,69,643,05:18.7
89,29.4,69,692,05:23.7
90,29.4,69,656,05:28.6
91,29.4,69,656,05:33.7
92,29.4,69,656,05:38.8
93,29.4,69,671,05:43.7
94,29.4,69,682,05:48.7
95,29.4,69,609,05:53.8
96,29.4,69,656,05:59.1
97,29.4,69,667,06:03.9
98,29.4,69,613,06:08.8
99,29.4,69,653,06:13.8
100,29.4,69,654,06:18.9
101,29.4,69,691,06:24.0
102,29.4,69,688,06:28.9
103,29.4,69,659,06:34.1
104,29.4,69,647,06:39.0
105,29.4,69,667,06:44.1
106,29.4,69,643,06:49.1
107,29.4,69,645,06:54.1
108,29.4,69,668,06:59.2
109,29.4,69,648,07:04.1
110,29.4,69,664,07:09.1
111,29.4,69,650,07:14.2
112,29.4,69,691,07:19.3
113,29.4,69,654,07:24.3
114,29.4,69,655,07:29.4
115,29.4,69,575,07:34.4
116,29.4,69,655,07:39.3
117,29.5,69,629,07:44.3
118,29.5,69,652,07:49.4
119,29.5,69,656,08:09.9
120,29.5,69,656,08:14.5
121,29.5,69,659,08:19.5
122,29.5,68,652,08:24.7
123,29.5,68,659,08:29.7
124,29.5,68,645,08:34.8
125,29.5,68,644,08:39.7
126,29.5,68,689,08:44.6
127,29.5,68,701,08:49.8
128,29.5,68,681,08:54.7
129,29.5,68,636,08:59.7
130,29.5,68,671,09:04.7
131,29.5,68,671,09:09.8
132,29.5,68,650,09:14.9
133,29.5,68,673,09:19.8
134,29.5,68,653,09:25.0
135,29.5,68,627,09:30.0
136,29.5,68,654,09:35.0
137,29.5,68,642,09:39.9
138,29.5,68,587,09:45.0
139,29.5,68,622,09:50.0
140,29.5,68,658,09:55.1
141,29.5,68,641,10:00.1
142,29.5,68,651,10:05.1
143,29.6,68,670,10:10.1
144,29.6,68,635,10:15.2
145,29.6,68,659,10:20.2
146,29.6,68,671,10:25.3
147,29.6,68,643,10:30.3
148,29.6,68,621,10:35.2
149,29.6,68,658,10:40.4
150,29.6,68,651,10:45.4
151,29.6,67,672,10:50.6
152,29.6,67,660,10:55.5
153,29.6,67,656,11:00.5
154,29.6,67,655,11:05.4
155,29.6,67,653,11:10.5
156,29.6,67,643,11:15.5
157,29.6,67,639,11:20.6
158,29.6,67,582,11:25.5
159,29.6,67,647,11:30.5
160,29.6,67,622,11:35.6
161,29.6,67,635,11:40.6
162,29.6,67,620,11:45.7
163,29.6,67,640,11:50.7
164,29.6,67,639,11:55.6
165,29.6,67,640,12:00.8
166,29.6,67,651,12:05.7
167,29.6,67,634,12:10.7
168,29.6,67,656,12:16.0
169,29.7,67,637,12:20.7
170,29.7,67,636,12:26.0
171,29.7,68,641,12:30.9
172,29.7,68,637,12:36.1
173,29.7,68,654,12:40.9
174,29.8,68,659,12:45.9
175,29.8,68,612,12:50.9
176,29.8,68,647,12:56.1
177,29.8,67,633,13:01.0
178,29.8,67,653,13:06.0
179,29.8,67,610,13:12.4
180,29.8,67,581,13:16.1
181,29.8,67,631,13:21.6
182,29.8,67,654,13:26.2
183,29.9,67,640,13:31.2
184,29.9,67,649,13:36.2
185,29.9,67,634,13:41.2
186,29.9,67,643,13:46.3
187,29.9,67,647,13:51.3
188,29.9,67,634,13:56.3
189,29.9,67,640,14:01.3
190,29.9,67,651,14:06.3
191,29.9,67,626,14:11.6
192,29.9,67,635,14:16.5
193,29.9,67,665,14:21.6
194,29.9,67,664,14:26.5
195,29.9,67,636,14:31.7
196,29.9,67,641,14:36.5
197,29.9,67,534,14:41.5
198,29.9,67,629,14:46.6
199,29.9,67,634,14:51.6
200,29.9,67,599,14:56.7
201,29.9,67,626,15:01.7
202,29.9,67,656,15:06.8
203,29.9,67,641,15:11.8
204,30,67,631,15:16.8
205,30,67,625,15:21.7
206,30,67,656,15:26.9
207,30,67,574,15:31.9
208,30,67,753,15:36.9
209,30,67,544,15:41.8
210,30,67,656,15:46.9
211,30,67,641,15:51.9
212,30,67,633,15:56.9
213,30,67,640,16:01.9
214,30,67,637,16:07.0
215,30,67,629,16:12.1
216,30,67,511,16:17.1
217,30,67,716,16:22.1
218,30,67,590,16:27.2
219,30,67,577,16:32.1
220,30,67,678,16:37.2
221,30,67,654,16:42.2
222,30,67,658,16:47.3
223,30,67,646,16:52.3
224,30,67,643,16:57.2
225,30,67,647,17:02.2
226,30,67,646,17:07.2
227,30,67,592,17:12.3
228,30,67,624,17:17.3
229,30,67,615,17:22.4
230,30,67,624,17:27.5
231,30,67,716,17:32.4
232,30,67,625,17:37.5
233,30,67,717,17:42.5
234,30.1,67,698,17:47.6
235,30.1,67,660,17:52.6
236,30.1,67,609,17:57.5
237,30.1,67,614,18:02.5
238,30.1,67,627,18:07.7
239,30.1,67,610,18:14.6
240,30.1,67,617,18:17.7
241,30.1,67,621,18:22.8
242,30.1,67,589,18:27.8
243,30.1,67,606,18:32.7
244,30.1,67,616,18:37.8
245,30.1,67,619,18:42.8
246,30.1,67,573,18:47.8
247,30.2,66,608,18:52.8
248,30.2,66,602,18:57.9
249,30.2,66,571,19:02.9
250,30.2,66,579,19:08.0
251,30.2,66,576,19:13.0
252,30.2,66,574,19:18.1
253,30.2,66,646,19:23.0
254,30.2,66,681,19:28.1
255,30.3,65,618,19:33.0
256,30.3,65,621,19:38.1
257,30.3,65,654,19:43.2
258,30.3,65,563,19:48.2
259,30.3,65,623,19:53.3
260,30.4,65,613,19:58.2
261,30.4,66,592,20:03.5
262,30.4,66,603,20:08.3
263,30.4,66,693,20:13.4
264,30.4,66,624,20:18.3
265,30.5,66,615,20:23.3
266,30.5,66,639,20:28.3
267,30.5,66,717,20:33.6
268,30.5,66,607,20:38.4
269,30.5,65,635,20:43.5
270,30.5,65,591,20:48.5
271,30.5,65,628,20:53.5
272,30.5,65,634,20:58.6
273,30.4,65,583,21:03.6
274,30.4,65,588,21:08.7
275,30.4,65,729,21:13.6
276,30.4,65,593,21:18.7
277,30.4,65,592,21:23.6
278,30.4,65,624,21:29.1
279,30.4,66,616,21:33.7
280,30.4,66,605,21:38.7
281,30.4,66,603,21:43.7
282,30.4,66,614,21:49.3
283,30.4,66,587,21:54.2
