id,suhu,kelembapan,gas,waktu
1,24,68,254,29:04.3
2,24,68,254,29:19.3
3,24,68,254,29:34.3
4,24,68,254,29:49.3
5,24,68,254,30:04.3
6,24,68,254,30:19.3
7,24,68,254,30:34.3
8,24,68,255,30:49.3
9,24,68,254,31:04.3
10,24,68,255,31:19.3
11,24,68,255,31:34.3
12,24,68,254,31:49.3
13,24,68,255,32:04.3
14,24,68,255,32:19.3
15,24,68,254,32:34.3
16,24,68,254,32:49.3
17,24,68,255,33:04.3
18,24,68,254,33:19.3
19,24,68,254,33:34.3
20,24,68,255,33:49.3
21,24,68,254,34:04.3
22,24,68,255,34:19.3
23,24,68,255,34:34.3
24,24,68,255,34:49.3
25,24,68,256,35:04.3
26,24,68,255,35:19.3
27,24,68,255,35:34.3
28,24,68,254,35:49.3
29,24,68,261,36:04.3
30,24,68,255,36:19.3
31,24,68,255,36:34.3
32,24,68,255,36:49.3
33,24,68,256,37:04.3
34,24,68,255,37:19.3
35,24,68,255,37:34.3
36,24,68,255,37:49.3
37,24,68,255,38:04.3
38,24,68,255,38:19.3
39,24,68,255,38:34.3
40,24,68,255,38:49.3
41,24,68,261,39:04.3
42,24,68,255,39:19.3
43,24,68,256,39:34.3
44,24,68,255,39:49.3
45,24,68,255,40:04.3
46,24,68,255,40:19.3
47,24,68,255,40:34.3
48,24,68,255,40:49.3
49,24,68,255,41:04.3
50,24,67,255,41:19.3
51,24.1,67,255,41:34.3
52,24.1,67,255,41:49.3
53,24.1,67,255,42:04.3
54,24.1,67,256,42:19.3
55,24.1,67,256,42:34.3
56,24.1,67,256,42:49.3
57,24.1,67,256,43:04.3
58,24.1,67,255,43:19.3
59,24.1,67,256,43:34.3
60,24.1,67,255,43:49.3
61,24.1,67,256,44:04.3
62,24.1,67,256,44:19.3
63,24.1,67,256,44:34.3
64,24.1,67,256,44:49.3
65,24.1,67,256,45:04.3
66,24.1,67,256,45:19.3
67,24.1,67,255,45:34.3
68,24.2,67,255,45:49.3
69,24.2,67,255,46:04.3
70,24.2,67,256,45:49.0
71,24.2,67,256,45:16.8
72,24.2,67,255,45:01.5
73,24.2,67,255,44:29.0
74,24.2,67,255,44:13.7
75,24.2,67,255,43:41.4
76,24.2,67,255,43:26.0
77,24.2,67,255,42:53.8
78,24.2,67,255,42:38.5
79,24.2,66,261,42:07.2
80,24.2,66,256,41:51.0
81,24.2,66,256,41:18.3
82,24.1,66,256,41:03.1
83,24.1,66,256,40:31.0
84,24.1,66,256,40:15.7
85,24.1,66,256,39:43.6
86,24.1,65,256,39:28.3
87,24.1,65,256,38:56.0
88,24.1,65,256,38:40.7
89,24.1,65,256,38:08.6
90,24.1,65,256,37:53.3
91,24.1,65,257,37:21.2
92,24.1,65,256,37:06.0
93,24.1,65,256,36:33.9
94,24.1,65,256,36:19.3
95,24.1,65,256,35:46.4
96,24.1,65,256,35:31.1
97,24.1,64,257,34:58.8
98,24.1,64,256,34:43.6
99,24.1,64,256,34:11.5
100,24.1,64,256,33:56.1
101,24.1,64,257,33:24.0
102,24.1,64,256,33:08.7
103,24.1,64,256,32:36.7
104,24,64,256,32:21.4
105,24,64,256,31:49.1
106,24,64,256,31:33.8
107,24,64,256,31:01.8
108,24,64,256,30:47.0
109,24,64,256,30:14.5
110,24,64,256,29:59.1
111,24,64,256,29:27.4
112,24,64,256,29:12.1
113,24,64,256,28:40.1
114,24,64,255,28:24.8
115,24,64,256,27:52.6
116,24,64,256,27:37.3
117,24,64,256,27:05.0
118,24,64,256,26:49.7
119,23.9,63,256,26:17.8
120,23.9,63,256,26:02.4
121,23.9,63,256,25:30.1
122,23.9,63,256,25:15.4
123,23.9,63,256,24:42.9
124,23.9,63,256,24:27.6
125,23.9,63,256,23:55.2
126,23.9,63,255,23:39.9
127,23.9,63,256,23:07.8
128,23.9,63,256,22:52.6
129,23.8,63,256,22:20.5
130,23.8,63,255,22:05.2
131,23.8,63,255,21:32.9
132,23.8,63,255,21:17.7
133,23.8,63,256,20:45.3
134,23.8,63,255,20:30.0
135,23.8,63,255,19:57.9
136,23.7,63,255,19:43.3
137,23.7,63,255,19:10.5
138,23.7,63,255,18:55.2
139,23.7,63,255,18:22.9
140,23.7,63,256,18:07.6
141,23.7,63,255,17:35.4
142,23.6,63,255,17:20.1
143,23.6,63,255,16:47.9
144,23.6,63,255,16:32.6
145,23.6,63,255,16:00.4
146,23.6,62,255,15:45.1
147,23.6,62,255,15:12.9
148,23.6,62,255,14:57.6
149,23.6,62,255,14:25.3
150,23.6,62,255,14:10.6
151,23.6,62,255,13:37.9
152,23.7,62,255,13:22.7
153,23.7,62,255,12:50.5
154,23.7,62,255,12:35.2
155,23.7,62,255,12:03.1
156,23.7,62,255,11:47.8
157,23.7,62,255,11:15.8
158,23.7,62,255,11:00.5
159,23.7,62,255,10:28.5
160,23.7,62,255,10:13.2
161,23.7,62,256,09:41.1
162,23.7,62,255,09:25.8
163,23.7,62,255,08:53.8
164,23.7,62,255,08:39.2
165,23.7,62,255,08:06.4
166,23.7,62,255,07:51.1
167,23.7,62,255,07:18.7
168,23.7,62,255,07:03.5
169,23.7,62,255,06:31.1
170,23.7,62,255,06:15.8
171,23.7,63,256,05:43.8
172,23.7,63,255,05:28.5
