id,suhu,kelembapan,gas,waktu
1,25.6,61,253,2025-07-02 09:26:03.801222+00
2,25.6,61,252,2025-07-02 09:26:18.801222+00
3,25.6,60,253,2025-07-02 09:26:33.801222+00
4,25.6,60,283,2025-07-02 09:26:48.801222+00
5,25.6,60,298,2025-07-02 09:27:03.801222+00
6,25.6,60,292,2025-07-02 09:27:18.801222+00
7,25.6,60,286,2025-07-02 09:27:33.801222+00
8,25.7,60,281,2025-07-02 09:27:48.801222+00
9,25.7,60,231,2025-07-02 09:28:03.801222+00
10,25.7,60,247,2025-07-02 09:28:18.801222+00
11,25.7,60,255,2025-07-02 09:28:33.801222+00
12,25.6,60,254,2025-07-02 09:28:48.801222+00
13,25.6,60,253,2025-07-02 09:29:03.801222+00
14,25.6,60,257,2025-07-02 09:29:18.801222+00
15,25.6,60,226,2025-07-02 09:29:33.801222+00
16,25.6,60,221,2025-07-02 09:29:48.801222+00
17,25.6,60,234,2025-07-02 09:30:03.801222+00
18,25.6,60,235,2025-07-02 09:30:18.801222+00
19,25.7,60,221,2025-07-02 09:30:33.801222+00
20,25.7,60,225,2025-07-02 09:30:48.801222+00
21,25.7,60,216,2025-07-02 09:31:03.801222+00
22,25.7,60,209,2025-07-02 09:31:18.801222+00
23,25.7,60,206,2025-07-02 09:31:33.801222+00
24,25.7,60,208,2025-07-02 09:31:48.801222+00
25,25.7,60,207,2025-07-02 09:32:03.801222+00
26,25.7,60,209,2025-07-02 09:32:18.801222+00
27,25.8,60,208,2025-07-02 09:32:33.801222+00
28,25.8,60,208,2025-07-02 09:32:48.801222+00
29,25.8,60,207,2025-07-02 09:33:03.801222+00
30,25.8,60,208,2025-07-02 09:33:18.801222+00
31,25.9,60,208,2025-07-02 09:33:33.801222+00
32,25.9,59,209,2025-07-02 09:33:48.801222+00
33,25.9,59,206,2025-07-02 09:34:03.801222+00
34,25.9,59,205,2025-07-02 09:34:18.801222+00
35,26,59,206,2025-07-02 09:34:33.801222+00
36,26,59,207,2025-07-02 09:34:48.801222+00
37,26,59,206,2025-07-02 09:35:03.801222+00
38,26,59,207,2025-07-02 09:35:18.801222+00
39,26,59,208,2025-07-02 09:35:33.801222+00
40,26,59,208,2025-07-02 09:35:48.801222+00
41,26,59,207,2025-07-02 09:36:03.801222+00
42,26,59,205,2025-07-02 09:36:18.801222+00
43,25.9,59,205,2025-07-02 09:36:33.801222+00
44,25.9,59,206,2025-07-02 09:36:48.801222+00
45,25.9,59,208,2025-07-02 09:37:03.801222+00
46,25.9,59,209,2025-07-02 09:37:18.801222+00
47,25.9,59,209,2025-07-02 09:37:33.801222+00
48,25.9,59,209,2025-07-02 09:37:48.801222+00
49,26,59,208,2025-07-02 09:38:03.801222+00
50,26,59,208,2025-07-02 09:38:18.801222+00
51,26,59,208,2025-07-02 09:38:33.801222+00
52,26,59,207,2025-07-02 09:38:48.801222+00
53,26,59,206,2025-07-02 09:39:03.801222+00
54,26,59,198,2025-07-02 09:39:18.801222+00
55,26,59,209,2025-07-02 09:39:33.801222+00
56,26,59,207,2025-07-02 09:39:48.801222+00
57,26,59,199,2025-07-02 09:40:03.801222+00
58,26,59,197,2025-07-02 09:40:18.801222+00
59,26,59,199,2025-07-02 09:40:33.801222+00
60,26,59,200,2025-07-02 09:40:48.801222+00
61,26,59,201,2025-07-02 09:41:03.801222+00
